   Andalucía,64.0,82.0,86.0,81.0,76.0,74.0,74.0,75.0,75.0,72.0,70.0,78.0,96.0,109.0,120.0,125.0,121.0,115.0,108.0,99.0,90.0,79.0,73.0,71.0,72.0,78.0,77.0,65.0,53.0,51.0,50.0,44.0,43.0,44.0,41.0,38.0,35.0,33.0,31.0,27.0,26.0,29.0,27.0,21.0,22.0,29.0,31.0,28.0
   Aragón,10.0,11.0,10.0,7.0,6.0,6.0,8.0,9.0,10.0,11.0,11.0,14.0,17.0,19.0,20.0,22.0,21.0,20.0,20.0,18.0,17.0,14.0,11.0,10.0,10.0,11.0,10.0,8.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
   Asturias,7.0,8.0,8.0,7.0,8.0,9.0,10.0,12.0,15.0,15.0,14.0,15.0,17.0,19.0,21.0,22.0,22.0,22.0,22.0,19.0,17.0,14.0,13.0,12.0,10.0,12.0,12.0,11.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
   Illes Balears,14.0,15.0,15.0,15.0,13.0,13.0,13.0,14.0,14.0,12.0,12.0,13.0,15.0,16.0,18.0,18.0,18.0,19.0,19.0,18.0,15.0,12.0,10.0,9.0,12.0,14.0,15.0,13.0,12.0,11.0,11.0,10.0,8.0,9.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,8.0,6.0
   Canarias,28.0,32.0,34.0,35.0,36.0,34.0,30.0,28.0,28.0,28.0,30.0,33.0,34.0,35.0,38.0,39.0,39.0,42.0,43.0,43.0,42.0,40.0,36.0,34.0,35.0,36.0,35.0,32.0,29.0,28.0,28.0,26.0,23.0,24.0,25.0,24.0,25.0,25.0,22.0,20.0,20.0,22.0,21.0,19.0,19.0,22.0,26.0,26.0
   Cantabria,4.0,5.0,6.0,5.0,3.0,3.0,5.0,6.0,6.0,6.0,5.0,5.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,6.0,5.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
   Castilla y León,19.0,21.0,21.0,16.0,12.0,13.0,16.0,16.0,18.0,20.0,18.0,20.0,24.0,29.0,35.0,39.0,38.0,35.0,32.0,27.0,24.0,20.0,16.0,16.0,16.0,17.0,18.0,15.0,12.0,14.0,15.0,14.0,13.0,13.0,13.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,11.0
   Castilla la Mancha,22.0,26.0,23.0,15.0,10.0,7.0,5.0,4.0,2.0,0.0,1.0,3.0,4.0,7.0,10.0,11.0,13.0,15.0,16.0,16.0,15.0,13.0,11.0,11.0,17.0,20.0,17.0,13.0,11.0,10.0,10.0,8.0,8.0,9.0,6.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
   Cataluña,155.0,167.0,164.0,130.0,98.0,89.0,75.0,65.0,57.0,38.0,33.0,60.0,106.0,155.0,201.0,233.0,242.0,237.0,227.0,201.0,167.0,129.0,97.0,97.0,125.0,148.0,140.0,110.0,86.0,79.0,82.0,66.0,59.0,64.0,60.0,56.0,47.0,45.0,49.0,45.0,41.0,39.0,40.0,41.0,39.0,44.0,48.0,38.0
   Com. Valenciana,62.0,74.0,75.0,59.0,40.0,37.0,35.0,27.0,17.0,8.0,11.0,20.0,32.0,53.0,67.0,78.0,83.0,77.0,72.0,63.0,53.0,41.0,31.0,32.0,46.0,62.0,62.0,52.0,40.0,35.0,36.0,34.0,29.0,29.0,28.0,25.0,22.0,24.0,23.0,21.0,22.0,23.0,18.0,12.0,9.0,15.0,21.0,19.0
   Extremadura,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
   Galicia,31.0,34.0,35.0,35.0,35.0,37.0,40.0,43.0,47.0,53.0,58.0,65.0,74.0,79.0,82.0,81.0,77.0,71.0,67.0,60.0,54.0,51.0,50.0,49.0,49.0,49.0,49.0,44.0,42.0,42.0,43.0,40.0,38.0,39.0,38.0,35.0,35.0,36.0,36.0,37.0,38.0,39.0,39.0,40.0,42.0,42.0,42.0,41.0
   Madrid,126.0,132.0,126.0,104.0,96.0,106.0,117.0,131.0,141.0,130.0,112.0,136.0,175.0,206.0,240.0,254.0,254.0,256.0,242.0,213.0,187.0,159.0,138.0,123.0,131.0,159.0,156.0,132.0,110.0,103.0,110.0,93.0,83.0,84.0,77.0,69.0,58.0,56.0,52.0,48.0,51.0,53.0,53.0,52.0,51.0,54.0,57.0,53.0
   Murcia,18.0,21.0,23.0,21.0,17.0,15.0,12.0,8.0,5.0,2.0,1.0,4.0,8.0,9.0,14.0,19.0,18.0,18.0,16.0,13.0,13.0,10.0,7.0,8.0,11.0,14.0,13.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0
   Navarra,6.0,8.0,9.0,7.0,5.0,6.0,6.0,7.0,7.0,6.0,3.0,3.0,9.0,12.0,12.0,15.0,16.0,16.0,14.0,11.0,10.0,9.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
   País Vasco,26.0,32.0,34.0,25.0,18.0,23.0,26.0,22.0,20.0,17.0,15.0,19.0,31.0,45.0,51.0,59.0,63.0,59.0,56.0,50.0,42.0,35.0,26.0,20.0,25.0,36.0,35.0,28.0,22.0,16.0,15.0,15.0,13.0,13.0,11.0,9.0,9.0,7.0,9.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0
   La Rioja,5.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,3.0,5.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,4.0,1.0,3.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
   Ceuta,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
   Melilla,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
